Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C)
1670100467.856,6.6,7.8,0.0,95,53,74
1670100472.861,6.7,7.8,0.0,95,53,74
1670100477.865,6.7,7.8,0.0,95,53,74
1670100482.869,6.6,7.8,0.0,95,53,74
1670100487.873,6.8,7.8,0.0,93,50,74
1670100492.877,6.6,7.8,0.0,93,51,74
1670100497.880,6.6,7.8,0.0,94,52,74
1670100502.884,6.7,7.8,0.0,93,51,74
1670100507.888,6.7,7.8,0.0,94,51,74
1670100512.892,6.6,7.8,0.0,95,52,74
1670100517.896,6.9,7.8,0.0,94,52,74
1670100522.900,6.6,7.8,0.0,91,51,74
1670100527.904,6.6,7.8,0.0,95,52,74
1670100532.916,6.7,7.8,0.0,95,52,74
1670100537.921,6.7,7.8,0.0,95,52,74
1670100542.925,6.6,7.8,0.0,94,52,74
1670100547.929,6.8,7.8,0.0,95,52,74
1670100552.933,6.6,7.8,0.0,95,52,74
1670100557.940,6.6,7.8,0.0,94,52,74
1670100562.944,6.7,7.8,0.0,95,52,74
