Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
1670258522.604,6.7,8.2,0.0,86,25,64,4,1,59
1670258526.998,6.6,8.2,0.0,33,9,64,30,6,59
1670258527.611,6.6,8.2,0.0,5,2,66,7,3,60
1670258532.002,6.5,8.2,0.0,45,11,66,4,2,61
1670258532.615,6.5,8.2,0.0,83,21,67,100,26,61
1670258537.006,6.7,8.2,0.0,90,24,66,96,23,61
1670258537.622,6.6,8.2,0.0,24,5,64,97,27,59
1670258542.009,6.5,8.2,0.0,5,2,66,22,3,60
1670258542.626,6.5,8.2,0.0,28,11,65,13,6,61
1670258547.014,6.5,8.2,0.0,10,4,66,82,21,61
1670258547.630,6.5,8.2,0.0,99,26,65,96,23,59
1670258552.018,6.7,8.2,0.0,94,22,65,70,19,60
1670258552.633,6.7,8.2,0.0,19,2,66,43,12,60
1670258557.024,6.8,8.2,0.0,54,16,67,96,23,60
1670258557.638,6.9,8.2,0.0,83,22,65,99,27,60
1670258562.027,6.6,8.2,0.0,52,15,66,28,11,61
1670258562.641,6.5,8.2,0.0,74,22,65,98,26,59
1670258567.031,6.7,8.2,0.0,99,27,65,100,26,59
1670258567.645,6.6,8.2,0.0,26,10,65,9,4,60
1670258572.035,6.5,8.2,0.0,5,2,65,21,5,60
1670258572.649,6.5,8.2,0.0,99,25,66,94,23,61
1670258577.039,6.5,8.2,0.0,95,24,66,85,22,60
1670258577.654,6.5,8.2,0.0,15,2,65,39,7,60
1670258582.043,6.6,8.2,0.0,61,16,64,83,25,59
1670258582.658,6.7,8.2,0.0,34,9,65,33,12,59
1670258587.048,6.6,8.2,0.0,29,11,65,9,4,60
1670258587.662,6.6,8.2,0.0,65,17,66,98,27,60
